REPORTDATE,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,NEIGHBORHOOD_ID
3/21/2015,1315,MENACING - FELONY W/WEAP,Agg ASLT-Firearm,elyria-swansea
11/25/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montclair
6/2/2016,2303,THEFT - SHOPLIFT,Larceny,northeast-park-hill
7/25/2016,1205,ROBBERY - STREET,Robbery-Street-Res,university-park
5/26/2012,5707,CRIMINAL TRESPASSING,All Other Crimes,athmar-park
6/14/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,barnum
7/18/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
8/4/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
6/2/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,villa-park
8/2/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
4/21/2016,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,globeville
8/4/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
2/10/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sunnyside
1/26/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,west-colfax
7/25/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,washington-virginia-vale
8/18/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,globeville
2/28/2013,1205,ROBBERY - STREET,Robbery-Street-Res,montbello
1/30/2013,2308,THEFT - FROM BLDG,Larceny,gateway-green-valley-ranch
11/25/2014,2205,BURGLARY - BUSINESS NO FORCE,Burglary,athmar-park
2/6/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,jefferson-park
8/16/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,athmar-park
8/1/2016,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,bear-valley
7/24/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,barnum
2/16/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sloan-lake
2/14/2013,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,windsor
8/15/2016,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,wellshire
5/26/2014,2303,THEFT - SHOPLIFT,Larceny,globeville
11/22/2014,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,westwood
8/4/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montbello
7/10/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,athmar-park
6/2/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
8/24/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,baker
2/23/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,five-points
2/4/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,south-park-hill
8/3/2015,1316,THREATS TO INJURE,All Other Crimes,five-points
6/19/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,lincoln-park
9/30/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
9/2/2014,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,west-highland
11/23/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
5/14/2015,2303,THEFT - SHOPLIFT,Larceny,valverde
6/27/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
7/10/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
10/6/2014,1315,MENACING - FELONY W/WEAP,Agg ASLT-Firearm,five-points
4/4/2014,1205,ROBBERY - STREET,Robbery-Street-Res,five-points
8/18/2015,1205,ROBBERY - STREET,Robbery-Street-Res,north-capitol-hill
10/22/2014,1205,ROBBERY - STREET,Robbery-Street-Res,harvey-park-south
2/20/2014,1205,ROBBERY - STREET,Robbery-Street-Res,gateway-green-valley-ranch
6/19/2016,1202,ROBBERY - BUSINESS,Robbery-Business,west-colfax
8/19/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,lincoln-park
11/5/2014,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,chaffee-park
8/9/2015,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,overland
4/12/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
7/14/2014,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,stapleton
6/5/2014,1205,ROBBERY - STREET,Robbery-Street-Res,east-colfax
5/8/2013,1205,ROBBERY - STREET,Robbery-Street-Res,montbello
6/15/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,indian-creek
8/30/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montclair
7/11/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,windsor
8/6/2014,5707,CRIMINAL TRESPASSING,All Other Crimes,chaffee-park
9/4/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
11/21/2015,3560,DRUG - MARIJUANA SELL,Drug Offenses,civic-center
4/15/2016,2205,BURGLARY - BUSINESS NO FORCE,Burglary,northeast-park-hill
10/7/2014,2303,THEFT - SHOPLIFT,Larceny,cbd
7/23/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,northeast-park-hill
4/6/2016,2506,FORGERY - POSS OF FORGED INST,All Other Crimes,cheesman-park
8/3/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
4/12/2014,1006,KIDNAP - ADULT VICTIM,All Other Crimes,westwood
3/31/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
10/6/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,hampden
7/18/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
7/23/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,ruby-hill
12/12/2013,2303,THEFT - SHOPLIFT,Larceny,cherry-creek
11/5/2015,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,college-view-south-platte
8/15/2016,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,virginia-village
8/15/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
7/2/2016,1205,ROBBERY - STREET,Robbery-Street-Res,lowry-field
11/30/2015,2005,ARSON - BUSINESS,All Other Crimes,jefferson-park
2/9/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,washington-virginia-vale
6/12/2014,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,elyria-swansea
3/29/2014,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,mar-lee
6/21/2015,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,cheesman-park
4/5/2015,1313,ASSAULT - SIMPLE,Simple Assault,south-park-hill
9/7/2015,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,east-colfax
10/19/2013,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,baker
7/13/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sun-valley
4/4/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,north-capitol-hill
7/25/2015,2303,THEFT - SHOPLIFT,Larceny,montbello
1/5/2013,2308,THEFT - FROM BLDG,Larceny,cheesman-park
10/2/2015,2999,CRIMINAL MISCHIEF - MTR VEH,Criminal Mischief-Vehicle,lincoln-park
11/25/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,east-colfax
12/28/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
2/20/2015,3560,DRUG - MARIJUANA SELL,Drug Offenses,valverde
4/4/2014,4801,POLICE - RESISTING ARREST,All Other Crimes,five-points
6/29/2015,1212,ROBBERY - CAR JACKING,Robbery-Street-Res,lincoln-park
2/18/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,university
1/29/2016,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,university-park
1/8/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montbello
8/28/2014,5312,DISTURBING THE PEACE,All Other Crimes,globeville
11/27/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,east-colfax
2/8/2016,1205,ROBBERY - STREET,Robbery-Street-Res,northeast-park-hill
4/4/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,baker
11/23/2014,5707,CRIMINAL TRESPASSING,All Other Crimes,elyria-swansea
3/15/2014,1313,ASSAULT - SIMPLE,Simple Assault,northeast-park-hill
10/30/2014,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,sun-valley
5/22/2015,3560,DRUG - MARIJUANA SELL,Drug Offenses,elyria-swansea
12/3/2015,1313,ASSAULT - SIMPLE,Simple Assault,virginia-village
4/3/2013,2303,THEFT - SHOPLIFT,Larceny,athmar-park
8/29/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,cole
9/24/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,westwood
2/6/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,speer
1/5/2016,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,college-view-south-platte
12/9/2015,4801,POLICE - RESISTING ARREST,All Other Crimes,mar-lee
2/16/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
3/29/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,west-highland
9/23/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
5/1/2016,5707,CRIMINAL TRESPASSING,All Other Crimes,elyria-swansea
1/26/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montclair
